id,code,name,id
__export__eschool_religion_2,Buddist,Buddist,__export__.eschool_religion_2
__export__eschool_religion_3,Christian,Christian,__export__.eschool_religion_3
__export__eschool_religion_4,Hindu,Hindu,__export__.eschool_religion_4
__export__eschool_religion_5,Islam,Islam,__export__.eschool_religion_5
__export__eschool_religion_6,other,other,__export__.eschool_religion_6
